Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
13,"12, 16, 105, 107, 205, 215, 234, 302, 311, 313, 331, 510, 515",1,02071A018 04287
20,"12, 16, 107, 110, 113, 120, 152, 162, 205, 219, 220, 231, 234, 306, 311, 313, 330, 331, 510, 515",1,02058 162C03029
19,"12, 16, 107, 110, 113, 152, 161, 205, 215, 220, 234, 300, 302, 306, 311, 313, 330, 510, 515",1,08156 140 02346
16,"12, 16, 107, 110, 113, 152, 202, 205, 215, 234, 301, 304, 306, 331, 510, 515",1,02350A01EX00020
15,"12, 16, 107, 110, 113, 152, 202, 205, 215, 234, 302, 311, 330, 331, 515",1,02733C01WX00014
17,"12, 16, 107, 110, 113, 152, 205, 210, 215, 234, 300, 311, 313, 330, 510, 515, 521",1,07894 018 03324
17,"12, 16, 107, 110, 113, 152, 205, 215, 220, 225, 234, 306, 311, 313, 330, 510, 515",1,19C515 387  066
15,"12, 16, 107, 110, 113, 152, 205, 215, 220, 234, 311, 313, 330, 510, 515",1,08051 015 00134
14,"12, 16, 107, 110, 113, 152, 210, 215, 220, 301, 311, 330, 510, 515",1,06512 228 00565
17,"12, 16, 107, 110, 116, 155, 161, 205, 215, 234, 300, 301, 311, 313, 330, 510, 515",1,02176 002 03512
17,"12, 16, 107, 110, 152, 161, 205, 215, 234, 301, 306, 311, 313, 330, 331, 510, 515",1,08889 030 02430
15,"12, 16, 107, 110, 152, 161, 205, 215, 234, 302, 311, 313, 331, 510, 515",1,08591C001 30010
15,"12, 16, 107, 110, 155, 205, 215, 220, 234, 306, 311, 313, 331, 510, 515",1,02453 230 04845
14,"12, 16, 107, 110, 155, 205, 215, 220, 234, 306, 311, 313, 331, 515",1,08616 033 05586
14,"12, 16, 107, 110, 155, 205, 215, 234, 301, 311, 313, 331, 515, 521",1,08470 002C02211
14,"12, 16, 107, 110, 155, 205, 215, 234, 306, 311, 313, 330, 515, 521",1,08074 162 00592
15,"12, 16, 107, 110, 161, 205, 210, 215, 225, 234, 302, 306, 311, 313, 515",1,09569 144 00722
16,"12, 16, 107, 110, 161, 205, 210, 215, 234, 301, 306, 311, 313, 330, 510, 515",1,09565 144 00669
16,"12, 16, 107, 110, 161, 205, 210, 215, 234, 302, 306, 311, 313, 331, 510, 515",1,08700A227 00196
15,"12, 16, 107, 110, 161, 205, 210, 215, 234, 306, 310, 313, 330, 510, 515",1,03849B020 00125
20,"12, 16, 107, 110, 113, 120, 152, 155, 162, 205, 210, 215, 220, 234, 311, 313, 330, 331, 510, 515",1,01377A001 30838
17,"12, 16, 107, 110, 113, 116, 152, 155, 205, 215, 234, 302, 306, 311, 313, 331, 515",1,02163A002 00673
19,"12, 16, 107, 110, 113, 116, 152, 155, 205, 215, 220, 234, 302, 304, 311, 313, 331, 510, 515",1,04517 01WX00511
18,"12, 16, 107, 109, 110, 152, 161, 205, 215, 234, 302, 306, 310, 311, 313, 331, 510, 515",1,08591F061 00048
21,"12, 16, 105, 109, 110, 113, 120, 152, 162, 205, 210, 215, 234, 301, 306, 310, 311, 313, 331, 515, 521",1,07949F00900341
10,"12, 16, 105, 109, 110, 205, 215, 225, 234, 330",1,01332A390000184
13,"12, 16, 105, 109, 205, 210, 215, 234, 310, 311, 313, 331, 510",1,19C508 167  072
13,"12, 16, 105, 109, 205, 215, 220, 234, 306, 310, 311, 331, 515",1,08899 000 00000
12,"12, 16, 105, 109, 205, 215, 225, 234, 302, 310, 330, 515",1,05066A002000026
10,"12, 16, 105, 109, 205, 215, 234, 303, 310, 331",1,19656 000 00000
10,"12, 16, 105, 109, 205, 215, 234, 306, 311, 331",1,03060B171 01905
18,"12, 16, 105, 113, 141, 148, 152, 205, 215, 234, 300, 303, 304, 314, 315, 330, 331, 515",1,20136 000000000
19,"12, 16, 107, 109, 110, 152, 205, 215, 220, 234, 301, 302, 310, 311, 313, 331, 510, 515, 521",1,08332 001 02866
20,"12, 16, 107, 110, 113, 116, 152, 155, 205, 215, 220, 234, 301, 302, 305, 311, 313, 331, 510, 515",1,00511B932600000
15,"12, 16, 107, 109, 110, 161, 205, 215, 220, 234, 301, 304, 310, 330, 515",1,06419A601 00001
19,"12, 16, 107, 109, 110, 161, 205, 215, 234, 301, 302, 306, 310, 311, 313, 330, 331, 510, 515",1,08864A069 00706
16,"12, 16, 107, 109, 110, 161, 205, 215, 234, 302, 306, 310, 311, 313, 331, 515",1,08591B001C30046
18,"12, 16, 107, 109, 110, 205, 210, 215, 220, 234, 301, 302, 310, 311, 313, 331, 510, 515",1,08883 001 30622
17,"12, 16, 107, 109, 110, 205, 215, 234, 300, 302, 306, 310, 311, 313, 330, 510, 515",1,08887B017 01981
17,"12, 16, 107, 109, 110, 205, 215, 234, 300, 302, 306, 310, 311, 313, 331, 510, 515",1,N8958A001 30299
15,"12, 16, 107, 109, 110, 205, 215, 234, 300, 302, 310, 311, 313, 331, 515",1,S8958A001 30299
13,"12, 16, 107, 110, 111, 216, 228, 235, 306, 313, 331, 510, 515",1,02303 102 08265
17,"12, 28, 38, 107, 110, 113, 120, 152, 162, 210, 215, 304, 306, 311, 313, 330, 515",1,18744 00000 003
14,"12, 28, 107, 109, 161, 205, 215, 220, 304, 311, 313, 330, 510, 515",1,19C509 195  001
16,"12, 28, 107, 109, 205, 215, 220, 225, 234, 304, 306, 310, 311, 313, 330, 515",1,00598D244 01678
8,"12, 104, 210, 215, 301, 306, 331, 521",1,20333 035 07665
9,"12, 104, 155, 205, 215, 234, 302, 310, 331",1,22364 009 06555
10,"12, 104, 155, 205, 215, 234, 306, 310, 331, 521",1,17488 01E 04615
12,"12, 104, 155, 210, 215, 225, 234, 302, 306, 311, 314, 331",1,07471A045 05655
6,"12, 104, 155, 215, 310, 331",1,19962 004 11394
11,"12, 104, 205, 215, 225, 234, 301, 306, 310, 331, 521",1,20676 001 01729
9,"12, 104, 205, 215, 234, 300, 314, 331, 521",1,16450 070 01021
11,"12, 104, 205, 215, 234, 301, 306, 310, 330, 510, 515",1,07026A059 00191
10,"12, 104, 205, 215, 234, 301, 306, 310, 331, 521",1,20677 001 01729
9,"12, 104, 205, 215, 234, 301, 310, 330, 515",1,20220 859 00290
10,"12, 104, 205, 215, 234, 302, 306, 310, 330, 515",1,18756 006 00002
8,"12, 104, 205, 215, 234, 302, 310, 331",1,20613 000 00000
8,"12, 104, 205, 215, 234, 306, 310, 331",1,21383001AV02440
7,"12, 104, 205, 215, 234, 306, 331",1,17320 001 25628
8,"12, 104, 205, 215, 234, 314, 330, 515",1,07470B045 05695
8,"12, 104, 205, 215, 234, 330, 510, 515",1,20043 011 00187
8,"12, 104, 205, 215, 310, 330, 510, 515",1,03501A341 03517
11,"12, 104, 210, 215, 220, 301, 306, 310, 330, 331, 510",1,19C457 389  009
10,"12, 104, 210, 215, 220, 302, 306, 310, 330, 510",1,10542A353000055
7,"12, 104, 210, 215, 220, 314, 331",1,16424 070 00040
9,"12, 104, 155, 205, 215, 234, 300, 314, 331",1,16452 070 01070
11,"12, 104, 155, 205, 210, 215, 303, 306, 310, 314, 331",1,09669A171C00033
8,"12, 104, 110, 215, 301, 310, 331, 521",1,2024100117964
11,"12, 104, 109, 205, 215, 234, 300, 301, 306, 331, 521",1,21160 074Y00008
10,"12, 102, 205, 215, 234, 300, 306, 314, 331, 515",1,18399 000 00067
9,"12, 102, 215, 227, 234, 303, 314, 331, 515",1,20879 002 01782
11,"12, 102, 215, 227, 303, 306, 314, 330, 331, 515, 521",1,20878 002 01768
7,"12, 102, 215, 301, 310, 331, 515",1,18674 047C07132
7,"12, 102, 215, 306, 310, 331, 515",1,18514 960 00000
6,"12, 102, 215, 306, 331, 515",1,21218 002 06444
15,"12, 104, 109, 155, 205, 210, 215, 225, 234, 300, 303, 310, 314, 331, 515",1,16506 001C30686
13,"12, 104, 109, 155, 205, 215, 234, 303, 306, 310, 314, 331, 510",1,01895A004 27869
9,"12, 104, 109, 205, 215, 234, 300, 301, 310",1,21493 000 00001
7,"12, 104, 110, 215, 301, 310, 331",1,20336 001 17964
10,"12, 104, 109, 205, 215, 234, 300, 330, 510, 515",1,06735A047C06257
12,"12, 104, 109, 205, 215, 234, 302, 306, 310, 330, 510, 515",1,09770 047C06429
10,"12, 104, 109, 205, 215, 234, 302, 311, 330, 515",1,08910A047 06601
10,"12, 104, 109, 205, 215, 234, 302, 314, 330, 515",1,08404A047C06715
8,"12, 104, 109, 205, 215, 300, 314, 331",1,19227 001 23822
8,"12, 104, 109, 215, 302, 306, 310, 331",1,19093 067 00217
8,"12, 104, 110, 205, 215, 234, 306, 331",1,20421 001 17840
9,"12, 104, 110, 205, 215, 234, 306, 331, 521",1,20335 001 17840
8,"12, 104, 210, 215, 301, 306, 310, 331",1,20147 007 00367
8,"12, 104, 210, 215, 301, 310, 331, 521",1,20627 001C10671
20,"12, 28, 107, 111, 113, 120, 152, 162, 205, 216, 220, 225, 228, 235, 306, 330, 331, 332, 510, 515",1,00330 105 00689
6,"12, 104, 210, 215, 301, 331",1,20126 005A00139
12,"12, 105, 109, 110, 205, 215, 220, 234, 302, 310, 311, 515",1,01496A029000327
8,"12, 105, 109, 205, 215, 234, 306, 330",1,13548 301 01473
11,"12, 105, 110, 205, 215, 220, 225, 234, 301, 306, 331",1,11780A025 00094
10,"12, 105, 110, 205, 215, 234, 302, 311, 331, 510",1,02062B002 04014
10,"12, 105, 205, 215, 234, 301, 302, 306, 331, 510",1,09686 006 27087
9,"12, 105, 205, 215, 234, 302, 311, 331, 510",1,08347R020X00011
8,"12, 105, 205, 215, 302, 312, 331, 510",1,08347A004 27544
8,"12, 105, 205, 234, 306, 330, 515, 521",1,06979A008 03139
16,"12, 107, 109, 110, 152, 161, 205, 215, 234, 306, 310, 311, 313, 331, 510, 515",1,08347 004 27506
17,"12, 107, 109, 110, 161, 205, 215, 231, 234, 302, 306, 310, 311, 313, 331, 510, 515",1,08924 002 08988
17,"12, 107, 109, 110, 202, 205, 215, 231, 234, 300, 302, 306, 310, 311, 313, 331, 515",1,08590D001 30068
16,"12, 107, 109, 110, 205, 210, 215, 231, 234, 300, 302, 310, 311, 313, 331, 515",1,08588D001 30150
16,"12, 107, 109, 110, 205, 215, 234, 302, 304, 306, 310, 311, 313, 330, 510, 515",1,08887B004 13665
13,"12, 107, 109, 110, 205, 215, 234, 302, 310, 311, 313, 331, 515",1,08590C001 30069
16,"12, 107, 109, 113, 152, 161, 210, 215, 302, 303, 306, 310, 314, 331, 510, 515",1,02254A001 28311
16,"12, 107, 109, 161, 205, 215, 231, 234, 302, 306, 310, 311, 313, 331, 510, 515",1,08923 002 09575
15,"12, 107, 109, 161, 205, 215, 234, 301, 310, 311, 313, 314, 331, 510, 515",1,08882 001 30592
17,"12, 107, 109, 205, 210, 215, 231, 234, 300, 303, 305, 310, 313, 314, 330, 331, 515",1,16660 000000000
13,"12, 107, 109, 205, 215, 220, 234, 300, 303, 310, 313, 330, 515",1,02513A002600405
6,"12, 104, 217, 301, 312, 331",1,51B001000000000
6,"12, 104, 215, 310, 330, 515",1,22355 000 00000
4,"12, 104, 215, 310",1,22516 002 01737
9,"12, 104, 215, 301, 306, 310, 330, 331, 515",1,24327 000 00000
8,"12, 104, 210, 215, 306, 310, 331, 521",1,17225 001 25582
6,"12, 104, 210, 215, 310, 331",1,17226 001 25556
9,"12, 104, 215, 225, 234, 300, 306, 310, 331",1,19748 000 00000
8,"12, 104, 215, 225, 234, 306, 330, 515",1,23235144CD00285
8,"12, 104, 215, 300, 301, 306, 310, 331",1,20150 035 00000
9,"12, 104, 215, 300, 302, 310, 330, 510, 515",1,18552 004 13874
8,"12, 104, 215, 300, 302, 310, 330, 515",1,18208 004 13028
8,"12, 104, 215, 300, 314, 330, 510, 515",1,17332 004 13814
7,"12, 104, 215, 301, 306, 310, 331",1,21016 004 14956
7,"12, 104, 215, 306, 330, 510, 515",1,23831 000 00000
8,"12, 104, 215, 301, 310, 330, 331, 515",1,20742 002 04501
6,"12, 104, 215, 301, 330, 515",1,22006 039 05710
6,"12, 104, 215, 302, 306, 331",1,17487 001 25753
7,"12, 104, 215, 302, 310, 330, 515",1,18816 004 13917
5,"12, 104, 215, 302, 331",1,17319 001 25654
8,"12, 104, 215, 306, 310, 330, 510, 515",1,17324N004 13750
7,"12, 104, 215, 306, 310, 331, 510",1,20408 028 00060
6,"12, 104, 215, 306, 310, 510",1,20565 611 00003
10,"12, 102, 152, 205, 215, 303, 311, 313, 331, 515",1,09743B064C00102
12,"12, 102, 152, 205, 215, 302, 306, 314, 330, 331, 510, 515",1,09069A000 00132
12,"12, 102, 152, 161, 202, 205, 231, 303, 311, 314, 331, 515",1,08958 061 00358
11,"12, 102, 113, 152, 202, 205, 234, 311, 314, 331, 515",1,09268 061 00310
15,"12, 38, 107, 109, 205, 215, 234, 302, 306, 310, 311, 313, 331, 510, 515",1,08804 002C08562
13,"12, 38, 107, 109, 205, 215, 234, 310, 311, 313, 331, 510, 515",1,09179 210 00013
14,"12, 38, 107, 152, 161, 205, 215, 234, 302, 311, 313, 330, 510, 515",1,06635 004 00077
14,"12, 38, 107, 152, 205, 210, 215, 300, 301, 306, 310, 330, 515, 521",1,07855B001C26020
15,"12, 38, 107, 152, 205, 210, 215, 302, 303, 306, 311, 313, 331, 510, 515",1,09632A006 26184
14,"12, 38, 107, 152, 205, 210, 215, 302, 303, 311, 313, 331, 510, 515",1,09632 006 26185
14,"12, 38, 107, 161, 202, 205, 210, 215, 302, 306, 311, 313, 330, 515",1,07695A001 28488
15,"12, 38, 107, 161, 202, 205, 215, 225, 231, 302, 306, 313, 330, 510, 515",1,02472 037 03205
13,"12, 38, 107, 205, 210, 215, 231, 301, 306, 311, 330, 515, 521",1,09511 006C29868
12,"12, 38, 107, 205, 210, 215, 231, 301, 306, 311, 515, 521",1,09804 012 00267
14,"12, 38, 107, 205, 210, 215, 234, 302, 303, 306, 311, 313, 330, 515",1,09806 031 01045
11,"12, 38, 107, 205, 210, 215, 234, 306, 330, 510, 515",1,01994 068 00224
12,"12, 38, 107, 205, 215, 220, 234, 306, 313, 332, 510, 515",1,12877 064800680
10,"12, 38, 107, 205, 215, 231, 301, 311, 330, 515",1,09584 006C20287
11,"12, 38, 107, 205, 215, 300, 302, 306, 310, 331, 515",1,21871 068 01024
10,"12, 38, 107, 210, 215, 302, 311, 313, 331, 515",1,02237A01E 00262
7,"12, 38, 107, 215, 220, 331, 510",1,04704 339 00316
8,"12, 38, 107, 215, 220, 331, 510, 515",1,04703 339 00331
13,"12, 38, 109, 110, 205, 210, 215, 234, 302, 310, 330, 331, 515",1,09153R026 00002
10,"12, 38, 104, 210, 215, 306, 310, 330, 331, 515",1,17929 741 00330
13,"12, 38, 104, 110, 144, 155, 205, 215, 220, 234, 300, 310, 331",1,18096 009 30635
13,"12, 38, 104, 109, 205, 210, 215, 234, 302, 306, 310, 330, 515",1,13492 174 00847
9,"12, 29, 107, 215, 302, 310, 330, 331, 515",1,18074 350 02934
19,"12, 28, 107, 113, 120, 152, 161, 162, 205, 210, 215, 220, 234, 304, 306, 311, 313, 330, 515",1,02592 283 00039
19,"12, 28, 107, 113, 120, 152, 162, 205, 219, 220, 225, 234, 304, 306, 311, 313, 330, 510, 515",1,29C237949 00201
15,"12, 28, 107, 113, 152, 161, 205, 215, 220, 234, 304, 311, 313, 330, 515",1,05443A077900704
17,"12, 28, 107, 113, 152, 205, 210, 215, 220, 225, 231, 234, 311, 313, 330, 510, 515",1,19C215003900352
11,"12, 28, 107, 152, 215, 225, 234, 306, 310, 330, 515",1,22260 010600037
12,"12, 28, 107, 202, 215, 220, 231, 306, 311, 313, 330, 515",1,19C521   3  695
16,"12, 28, 110, 113, 120, 152, 205, 210, 215, 220, 234, 304, 311, 313, 330, 515",1,06645 002C06462
18,"12, 29, 107, 110, 113, 120, 152, 162, 210, 220, 301, 304, 311, 313, 330, 331, 510, 515",1,02758 000000000
14,"12, 29, 113, 120, 152, 162, 202, 210, 215, 300, 311, 313, 330, 515",1,06683 01WX00036
10,"12, 31, 111, 206, 216, 225, 228, 231, 235, 306",1,22452 000 00000
15,"12, 30, 102, 113, 141, 152, 202, 210, 304, 311, 313, 330, 331, 510, 515",1,02529 061 00332
21,"12, 30, 107, 109, 113, 152, 202, 205, 215, 220, 226, 231, 234, 303, 306, 310, 311, 313, 330, 510, 515",1,01940G240 00839
16,"12, 30, 107, 113, 120, 152, 202, 205, 215, 301, 306, 311, 313, 330, 510, 515",1,0M089 123 00240
14,"12, 30, 113, 120, 152, 210, 215, 220, 306, 311, 313, 330, 510, 515",1,23C291029 00050
33,"12, 31, 38, 60, 104, 107, 111, 113, 120, 152, 162, 202, 205, 206, 210, 215, 216, 220, 225, 228, 231, 234, 235, 236, 306, 310, 311, 313, 330, 331, 332, 510, 515",1,00711 105 00478
19,"12, 31, 107, 117, 135, 156, 202, 205, 210, 215, 219, 220, 231, 304, 306, 311, 332, 510, 515",1,19C018  82  001
18,"12, 31, 107, 117, 135, 156, 205, 210, 215, 220, 234, 235, 304, 306, 311, 330, 332, 515",1,19C487  10  053
9,"12, 31, 111, 206, 215, 220, 228, 235, 332",1,21227 000000000
19,"12, 38, 109, 113, 120, 152, 162, 205, 210, 215, 234, 302, 306, 310, 311, 313, 330, 510, 515",1,39C111106000021
12,"12, 38, 109, 116, 144, 155, 215, 220, 306, 310, 331, 510",1,00231A191 00299
16,"12, 38, 109, 205, 210, 215, 220, 225, 234, 302, 306, 310, 311, 330, 515, 521",1,02049A062 01449
16,"12, 102, 105, 113, 152, 161, 205, 215, 234, 300, 303, 306, 311, 314, 331, 515",1,09268A02W 00121
18,"12, 38, 113, 120, 152, 162, 202, 205, 215, 220, 234, 301, 306, 311, 313, 331, 510, 515",1,08459 009 34778
17,"12, 38, 113, 120, 152, 162, 202, 215, 228, 234, 304, 306, 311, 313, 330, 510, 515",1,47C37 543
16,"12, 38, 113, 120, 152, 162, 205, 215, 226, 234, 306, 310, 313, 330, 510, 515",1,00583E058 02909
17,"12, 38, 113, 120, 152, 162, 205, 215, 226, 234, 306, 311, 313, 330, 331, 510, 515",1,02373 042500028
15,"12, 38, 113, 120, 152, 162, 205, 215, 234, 306, 311, 313, 330, 510, 515",1,08990 171 04583
17,"12, 38, 141, 152, 205, 215, 219, 225, 231, 234, 301, 306, 310, 330, 331, 510, 515",1,06560 019 00341
11,"12, 38, 215, 225, 234, 304, 306, 310, 330, 510, 515",1,23058 000 00000
19,"12, 60, 107, 113, 120, 152, 162, 202, 205, 210, 215, 220, 301, 304, 311, 313, 330, 510, 515",1,06757 000000000
15,"12, 102, 105, 113, 152, 161, 205, 215, 234, 300, 303, 311, 314, 331, 515",1,09268B02W 00117
20,"12, 38, 111, 113, 120, 152, 162, 205, 219, 228, 231, 234, 235, 306, 311, 313, 330, 331, 510, 515",1,02305 201 00010
17,"12, 102, 105, 152, 161, 202, 205, 215, 231, 234, 302, 303, 306, 311, 314, 331, 515",1,09268S061 00284
15,"12, 102, 105, 152, 161, 205, 215, 234, 302, 303, 306, 311, 314, 331, 515",1,09268N061 00284
18,"12, 102, 107, 113, 152, 205, 215, 234, 300, 302, 303, 304, 310, 311, 313, 331, 510, 515",1,09403 064 00913
13,"12, 102, 107, 161, 205, 215, 234, 302, 311, 313, 331, 515, 521",1,09282A061 00212
12,"12, 102, 113, 152, 161, 202, 205, 231, 303, 314, 331, 515",1,08958B061 00372
10,"12, 102, 113, 152, 161, 202, 231, 303, 331, 515",1,09268W061 00284
12,"12, 102, 113, 152, 161, 205, 215, 303, 311, 314, 331, 515",1,08958F061 00352
10,"12, 102, 113, 152, 161, 205, 303, 314, 331, 515",1,09268E02W 00146
20,"12, 38, 111, 120, 152, 162, 205, 206, 216, 219, 220, 225, 234, 235, 306, 311, 313, 331, 510, 515",1,02319 046 00774
11,"12, 38, 110, 154, 205, 215, 234, 302, 310, 311, 331",1,07458 002F06398
12,"12, 38, 109, 205, 210, 215, 231, 234, 301, 310, 331, 515",1,02757D000000000
11,"12, 38, 109, 205, 218, 234, 300, 301, 310, 331, 510",1,19681 006 25913
12,"12, 38, 109, 205, 210, 215, 234, 302, 306, 310, 330, 331",1,09519 01W 00865
13,"12, 38, 109, 205, 210, 215, 234, 302, 310, 330, 331, 510, 515",1,09596 227C00623
10,"12, 38, 109, 205, 210, 215, 234, 302, 311, 331",1,02367A047 05569
11,"12, 38, 109, 205, 215, 218, 234, 300, 301, 310, 331",1,19684 006 25889
13,"12, 38, 109, 205, 215, 220, 234, 306, 310, 311, 331, 510, 515",1,02025 016 05660
9,"12, 38, 109, 205, 215, 233, 306, 310, 331",1,07780A009 30372
10,"12, 38, 109, 205, 215, 234, 300, 310, 330, 515",1,16792 003 00005
8,"12, 38, 109, 205, 215, 234, 330, 515",1,00713719T900110
11,"12, 38, 109, 205, 218, 234, 301, 306, 310, 331, 510",1,19683 006 25889
12,"12, 38, 110, 144, 155, 205, 215, 234, 306, 311, 331, 510",1,01600 281 00495
11,"12, 38, 109, 205, 218, 234, 301, 306, 310, 331, 521",1,19682 006 25913
10,"12, 38, 109, 210, 215, 300, 302, 306, 310, 311",1,04412A450Y01272
6,"12, 38, 109, 210, 215, 331",1,17015 001C25179
10,"12, 38, 109, 215, 225, 234, 300, 310, 330, 515",1,18675 01W 04078
8,"12, 38, 109, 215, 226, 234, 306, 331",1,11315A885 00005
10,"12, 38, 109, 215, 302, 306, 310, 330, 510, 515",1,01659 000 00003
16,"12, 38, 110, 120, 152, 162, 202, 205, 215, 234, 306, 311, 313, 331, 510, 515",1,01939 281 01290
14,"12, 38, 110, 144, 155, 205, 215, 220, 234, 306, 311, 330, 510, 515",1,00624A002 18260
7,"12, 109, 205, 215, 234, 306, 310",1,02061A01E 02203
9,"12, 109, 205, 215, 234, 306, 310, 330, 510",1,09500 066 03252
8,"12, 109, 205, 215, 234, 306, 310, 510",1,53C043001500760
7,"16, 109, 215, 220, 310, 332, 510",1,29C255000 00060
11,"16, 109, 110, 205, 215, 220, 234, 306, 310, 331, 510",1,02364A047 03788
9,"16, 109, 110, 215, 234, 306, 310, 331, 510",1,00910A009 29038
12,"16, 109, 205, 210, 215, 220, 234, 306, 310, 330, 510, 515",1,16269 515 00274
9,"16, 109, 205, 215, 220, 310, 330, 510, 515",1,11C70L008900390
9,"16, 109, 205, 215, 234, 300, 310, 331, 510",1,07029A000000110
9,"16, 109, 205, 215, 234, 306, 310, 331, 510",1,21164 000 00000
8,"16, 109, 205, 215, 234, 306, 331, 510",1,22389 047 00364
9,"16, 109, 205, 215, 234, 310, 330, 510, 515",1,16326 994 04003
8,"16, 109, 205, 215, 234, 310, 331, 510",1,19882 188200022
10,"16, 109, 210, 215, 220, 225, 306, 310, 331, 510",1,39C451439003555
11,"16, 109, 210, 215, 220, 306, 310, 330, 331, 510, 515",1,19C489 12B  002
10,"16, 109, 210, 215, 220, 306, 310, 330, 510, 515",1,11279A507 00650
9,"16, 109, 210, 215, 220, 306, 310, 331, 510",1,14360B501800003
8,"16, 109, 210, 215, 220, 310, 330, 515",1,23C151015 02602
10,"16, 109, 210, 215, 300, 306, 310, 330, 510, 515",1,18040 135 00100
10,"16, 109, 210, 215, 301, 306, 310, 330, 331, 515",1,19C477  1  2652
8,"16, 109, 210, 215, 302, 310, 330, 515",1,20176 132 00130
9,"16, 109, 210, 215, 306, 310, 330, 510, 515",1,39C456439200001
9,"16, 109, 215, 220, 306, 310, 330, 510, 515",1,16420 515 03789
12,"16, 107, 110, 215, 220, 234, 306, 311, 313, 330, 510, 515",1,06044 028 00262
4,"16, 105, 306, 331",1,04675A032 00443
4,"16, 105, 215, 510",1,08966R227 00101
8,"16, 105, 205, 215, 306, 330, 510, 521",1,09752 000 00215
10,"16, 105, 205, 215, 234, 306, 311, 330, 331, 515",1,08194R003 00010
9,"16, 105, 205, 215, 234, 306, 311, 331, 510",1,09161 061 00118
8,"16, 105, 205, 215, 234, 306, 331, 521",1,08743 001 01477
7,"16, 105, 205, 215, 234, 330, 515",1,08198 001 29755
7,"16, 105, 205, 215, 234, 331, 521",1,07669A001 12415
9,"16, 105, 205, 215, 301, 306, 310, 331, 510",1,08019A001F06017
9,"16, 105, 205, 215, 301, 311, 330, 510, 515",1,08202 001 29634
7,"16, 105, 205, 215, 306, 311, 331",1,08573 001 30253
6,"16, 105, 205, 215, 311, 331",1,08574 001 30243
5,"16, 105, 215, 331, 510",1,10745A010 00110
8,"16, 105, 205, 234, 311, 331, 510, 515",1,08966 227 00081
8,"16, 105, 210, 215, 300, 310, 330, 515",1,24T03 000000000
9,"16, 105, 210, 215, 302, 306, 312, 331, 510",1,01323A015 04070
8,"16, 105, 210, 215, 302, 310, 331, 510",1,53C023066700252
7,"16, 105, 210, 215, 313, 314, 331",1,39C14 244000671
7,"16, 105, 215, 302, 330, 515, 521",1,17362 021 01619
5,"16, 105, 215, 306, 331",1,17082 01EC00450
4,"16, 105, 215, 331",1,17124 000000000
8,"16, 109, 215, 220, 310, 330, 510, 515",1,20481 927 00505
6,"16, 109, 215, 220, 330, 515",1,23C311031 00001
7,"16, 105, 205, 215, 234, 306, 310",1,09002 001 30443
9,"16, 109, 215, 225, 306, 310, 330, 510, 515",1,11201A150400137
10,"16, 110, 116, 155, 205, 215, 220, 330, 510, 515",1,470206000 00000
9,"16, 110, 116, 155, 205, 215, 220, 331, 510",1,39C183110500130
12,"16, 110, 116, 155, 205, 215, 228, 234, 306, 310, 311, 331",1,01362A563 01178
13,"16, 110, 116, 155, 205, 215, 234, 301, 306, 310, 311, 331, 510",1,01872A037 01804
11,"16, 110, 116, 155, 205, 215, 234, 301, 306, 331, 510",1,25T03 000 00117
13,"16, 110, 116, 155, 205, 215, 234, 306, 310, 311, 330, 510, 515",1,02732 01E 01222
13,"16, 110, 116, 155, 205, 215, 234, 306, 310, 330, 331, 510, 515",1,01608A161 02154
12,"16, 110, 116, 155, 205, 215, 234, 306, 310, 330, 510, 515",1,02601 047 00440
13,"16, 110, 116, 155, 205, 215, 234, 306, 311, 330, 331, 510, 515",1,07253R030C02582
12,"16, 110, 116, 155, 205, 215, 234, 306, 311, 331, 510, 515",1,03112A102 03508
9,"16, 110, 116, 155, 205, 215, 234, 306, 331",1,01950 009 23476
9,"16, 110, 116, 155, 205, 215, 306, 331, 510",1,02390 241 00014
9,"16, 110, 116, 155, 205, 234, 306, 330, 515",1,470420000 00111
9,"16, 110, 116, 155, 205, 234, 306, 331, 510",1,03111A102 03206
9,"16, 110, 116, 155, 205, 234, 330, 510, 515",1,470224000 00000
9,"16, 110, 116, 155, 215, 306, 330, 510, 515",1,51C04 000 00001
7,"16, 110, 116, 155, 215, 330, 515",1,470430000
10,"16, 110, 116, 205, 215, 234, 306, 311, 331, 510",1,01830 01E 02481
12,"16, 110, 143, 205, 215, 220, 300, 310, 313, 330, 515, 521",1,18544 009 23309
11,"16, 110, 116, 155, 205, 215, 220, 234, 330, 510, 515",1,07295 162 04769
13,"16, 110, 116, 155, 205, 215, 220, 234, 306, 311, 330, 510, 515",1,02374 01E 01229
13,"16, 110, 116, 155, 205, 215, 220, 234, 302, 311, 330, 510, 515",1,00332 301 00291
16,"16, 110, 116, 144, 155, 205, 210, 215, 220, 227, 234, 301, 306, 310, 331, 510",1,01172 009 32764
7,"16, 109, 215, 225, 310, 331, 510",1,016329181800043
8,"16, 109, 215, 301, 310, 330, 510, 515",1,18084 C31325E33
7,"16, 109, 215, 301, 310, 331, 510",1,23879 000 00000
7,"16, 109, 215, 302, 310, 330, 515",1,25B51 000
7,"16, 109, 215, 306, 310, 330, 515",1,39C518503400195
5,"16, 109, 215, 310, 331",1,008T3 000 00156
7,"16, 109, 216, 310, 330, 510, 515",1,12073A71403 356
